Organization Description,,Faculty Last,First Initial,,Faculty Name
Art and Art History,,Rubenstein,E,,"Rubenstein, E."
Art and Art History,,Johnson,C,,"Johnson, C."
Art and Art History,,Denton,M,,"Denton, M."
Art and Art History,,Rhodes,D,,"Rhodes, D."
Biology,,Hayden,W,,"Hayden, W."
Biology,,Kingsley,R,,"Kingsley, R."
Biology,,Kingsley,R,,"Kingsley, R."
Biology,,Bishop,J,,"Bishop, J."
Biology,,Reiner,M,,"Reiner, M."
Biology,,Smith,M,,"Smith, M."
Continuing Studies Credit,,Maurakis,E,,"Maurakis, E."
Biology,,Muehlstein,L,,"Muehlstein, L."
Biology,,Radice,G,,"Radice, G."
Biology,,Shanabruch,W,,"Shanabruch, W."
Biology,,Decker,R,,"Decker, R."
Biology,,Emery,H,,"Emery, H."
Classical Studies,,Simpson,D,,"Simpson, D."
Classical Studies,,Stevenson,W,,"Stevenson, W."
Classical Studies,,Wheeler,S,,"Wheeler, S."
Education,,Brown,M,,"Brown, M."
Education,,Eicher,B,,"Eicher, B."
Education,,Traynelis-Yurek,E,,"Traynelis-Yurek, E."
Education,,Pruden,E,,"Pruden, E."
English,,Schwartz,L,,"Schwartz, L."
English,,Nelson,R,,"Nelson, R."
English,,Taylor,W,,"Taylor, W."
English,,Jones,S,,"Jones, S."
Continuing Studies Credit,,Reilly,R,,"Reilly, R."
Education,,McMurtry,J,,"McMurtry, J."
English,,Loxterman,A,,"Loxterman, A."
English,,Barza,S,,"Barza, S."
English,,Hickey,D,,"Hickey, D."
English,,MacAllister,J,,"MacAllister, J."
English,,Griffin,B,,"Griffin, B."
English,,Givens,T,,"Givens, T."
English,,Tremaine,L,,"Tremaine, L."
English,,Hewett-Smith,K,,"Hewett-Smith, K."
English,,Watt,G,,"Watt, G."
English,,Hilliard,R,,"Hilliard, R."
English,,Hilliard,R,,"Hilliard, R."
Chemistry,,Abrash,S,,"Abrash, S."
Chemistry,,Clough,S,,"Clough, S."
Chemistry,,Topham,R,,"Topham, R."
Chemistry,,Dominey,R,,"Dominey, R."
Chemistry,,Myers,W,,"Myers, W."
Chemistry,,Ferguson,G,,"Ferguson, G."
Chemistry,,Goldman,E,,"Goldman, E."
History,,Westin,R,,"Westin, R."
Retired Employees,,Bogle,E,,"Bogle, E."
Continuing Studies Credit,,Wray,E,,"Wray, E."
History,,Bolt,E,,"Bolt, E."
History,,Ryle,M,,"Ryle, M."
Continuing Studies Credit,,Treadway,J,,"Treadway, J."
History,,Summers,C,,"Summers, C."
History,,Ward,H,,"Ward, H."
History,,Rilling,J,,"Rilling, J."
Credit Admin,,Gordon,J,,"Gordon, J."
History,,Evans,D,,"Evans, D."
Journalism,,Spear,M,,"Spear, M."
Journalism,,Nash,S,,"Nash, S."
Journalism,,Nash,S,,"Nash, S."
Math & Computer Sciences,,Hubbard,J,,"Hubbard, J."
Math & Computer Sciences,,Withers,N,,"Withers, N."
Math & Computer Sciences,,Davis,J,,"Davis, J."
Provost Office,,Kent,J,,"Kent, J."
Math & Computer Sciences,,Hoke,H,,"Hoke, H."
Math & Computer Sciences,,Hoke,K,,"Hoke, K."
